全国，都道府県，市区町村,自治体コード,人口総数,うち外国人数,外国人比率（%）,2010年外国人比率（％）
気仙沼市,4205,61147.0,582.0,0.9518046674407576,0.5783178434867803
白石市,4206,32758.0,214.0,0.653275535746993,0.3233392122281011
名取市,4207,78718.0,359.0,0.456058334815417,0.3308994448546504
角田市,4208,27976.0,206.0,0.7363454389476695,0.4754914475363798
多賀城市,4209,62827.0,364.0,0.5793687427379948,0.4408499841420869
岩沼市,4211,44068.0,375.0,0.8509576109648725,0.2421526693371353
登米市,4212,76037.0,328.0,0.4313689388061075,0.3977658421560338
栗原市,4213,64637.0,486.0,0.7518913315902657,0.3523194362889019
東松島市,4214,39098.0,142.0,0.3631899329888997,0.289024077570333
大崎市,4215,127330.0,726.0,0.5701719940312574,0.3877259576609174
富谷市,4216,51651.0,219.0,0.4239995353429749,
蔵王町,4301,11418.0,67.0,0.5867927833245752,0.3337990995187083
七ヶ宿町,4302,1262.0,27.0,2.13946117274168,1.1216056670602124
大河原町,4321,23571.0,125.0,0.5303126723516185,0.3399915002124947
村田町,4322,10666.0,54.0,0.5062816426026626,0.1917465610671113
柴田町,4323,38271.0,140.0,0.3658122338062763,0.3736559823085331
川崎町,4324,8345.0,127.0,1.5218693828639904,0.2906394066947284
丸森町,4341,12262.0,133.0,1.0846517696949929,0.5483517192439198
亘理町,4361,33087.0,155.0,0.4684619336899688,0.2496771416272062
山元町,4362,12046.0,58.0,0.4814876307487963,0.2813697318007663
松島町,4401,13323.0,63.0,0.4728664715154244,0.1590984421610871
七ヶ浜町,4404,18132.0,98.0,0.5404809177145378,0.2889890282131661
利府町,4406,35182.0,120.0,0.3410835086123586,0.21474377831382
大和町,4421,28786.0,374.0,1.2992426874174945,0.3213625773278701
大郷町,4422,7813.0,79.0,1.0111352873416102,0.291251260221799
大衡村,4424,5849.0,58.0,0.9916224995725764,0.4874390701162355
色麻町,4444,6698.0,34.0,0.5076142131979695,0.4171713093796259
加美町,4445,21943.0,162.0,0.7382764435127375,0.2585497708308849
涌谷町,4501,15388.0,57.0,0.3704185079282558,0.2800960329255745
美里町,4505,23994.0,64.0,0.2667333500041677,0.3255260023818975
女川町,4581,6430.0,212.0,3.297045101088647,2.069445826285942
南三陸町,4606,12225.0,164.0,1.3415132924335378,0.6655574043261231
秋田県,5000,959502.0,3651.0,0.3805098895051808,0.3090247947277939
秋田市,5201,307672.0,1187.0,0.3858004628305468,0.3250927070457354
能代市,5202,49968.0,208.0,0.4162664105027218,0.3723512287590549
横手市,5203,85555.0,373.0,0.4359768569925778,0.3730926021938252
大館市,5204,69237.0,295.0,0.4260727645623005,0.2875383173308337
男鹿市,5206,25154.0,44.0,0.1749224775383636,0.1641171734687558
湯沢市,5207,42091.0,114.0,0.2708417476420137,0.2340262345375524
鹿角市,5209,29088.0,89.0,0.3059680968096809,0.3248919444202709
由利本荘市,5210,74707.0,256.0,0.3426720387647744,0.2815942930223281
潟上市,5211,31720.0,85.0,0.2679697351828499,0.1306544335404448
