全国，都道府県，市区町村,Unnamed: 0,自治体コード,人口総数,うち外国人数,外国人比率（%）
久慈市,238,3207,33043.0,324.0,0.9805405078231396
遠野市,239,3208,25366.0,155.0,0.6110541669951904
一関市,240,3209,111932.0,799.0,0.7138262516527892
陸前高田市,241,3210,18262.0,173.0,0.94732230861899
釜石市,242,3211,32078.0,219.0,0.6827108922002618
二戸市,243,3213,25513.0,192.0,0.7525575196958414
八幡平市,244,3214,24023.0,95.0,0.3954543562419348
奥州市,245,3215,112937.0,589.0,0.5215297024004534
滝沢市,246,3216,55579.0,233.0,0.4192230878569244
雫石町,247,3301,15731.0,42.0,0.2669887483313203
葛巻町,248,3302,5634.0,23.0,0.4082357117500887
岩手町,249,3303,12285.0,165.0,1.3431013431013432
紫波町,250,3321,32147.0,86.0,0.2675210750614365
矢巾町,251,3322,28056.0,104.0,0.3706871970345024
西和賀町,252,3366,5134.0,24.0,0.4674717569146864
金ケ崎町,253,3381,15535.0,145.0,0.9333762471837788
平泉町,254,3402,7252.0,39.0,0.5377826806398235
住田町,255,3441,5045.0,106.0,2.101090188305253
大槌町,256,3461,11004.0,51.0,0.4634678298800436
山田町,257,3482,14320.0,62.0,0.4329608938547485
岩泉町,258,3483,8726.0,61.0,0.6990602796241119
田野畑村,259,3484,3059.0,29.0,0.9480222294867604
普代村,260,3485,2487.0,21.0,0.8443908323281062
軽米町,261,3501,8421.0,89.0,1.0568816055100343
野田村,262,3503,3936.0,22.0,0.5589430894308943
九戸村,263,3506,5378.0,16.0,0.2975083674228337
洋野町,264,3507,15091.0,51.0,0.3379497713869194
一戸町,265,3524,11494.0,149.0,1.296328519227423
宮城県,266,4000,2301996.0,19453.0,0.8450492529092144
仙台市,267,4100,1096704.0,11507.0,1.049234798085901
仙台市青葉区,268,4101,311590.0,5581.0,1.7911357874129463
仙台市宮城野区,269,4102,196732.0,1915.0,0.9734054449708232
仙台市若林区,270,4103,141475.0,1258.0,0.8892030394062556
仙台市太白区,271,4104,234758.0,1677.0,0.714352652518764
仙台市泉区,272,4105,212149.0,1076.0,0.5071907008753281
石巻市,273,4202,140151.0,1071.0,0.7641757818353062
塩竈市,274,4203,52203.0,503.0,0.9635461563511676
気仙沼市,275,4205,61147.0,582.0,0.9518046674407576
白石市,276,4206,32758.0,214.0,0.653275535746993
名取市,277,4207,78718.0,359.0,0.456058334815417
角田市,278,4208,27976.0,206.0,0.7363454389476695
多賀城市,279,4209,62827.0,364.0,0.5793687427379948
岩沼市,280,4211,44068.0,375.0,0.8509576109648725
登米市,281,4212,76037.0,328.0,0.4313689388061075
栗原市,282,4213,64637.0,486.0,0.7518913315902657
東松島市,283,4214,39098.0,142.0,0.3631899329888997
大崎市,284,4215,127330.0,726.0,0.5701719940312574
富谷市,285,4216,51651.0,219.0,0.4239995353429749
蔵王町,286,4301,11418.0,67.0,0.5867927833245752
